ID_t,Nb_of_incident,Electrical_length,Service_date,Length_climate_hazard_plan,Length_fragile_section,Nb_of_anomaly,Year_helicopter_flight,y_pred
80068,3.0,135.0,31,6.074,8.251735488889999,0.0,5,1
55342,0.0,32.0,35,4.962,4.192,10.0,3,0
21903,1.0,92.0,44,0.0,3.28997234344,0.0,2,1
54998,0.0,1170.0,37,0.3320000000000002,0.0,0.0,1,0
58194,1.0,585.0,44,2.168999999999999,1.80100000382,0.0,1,1
66472,1.0,45.0,37,0.517,5.45091629362,0.0,2,1
92535,2.0,13.52085113525391,51,8.365,3.78896025848,0.0,1,1
86765,0.0,33.49142837524414,34,4.026,0.05,0.0,1,0
83569,1.0,81.0,15,0.274,0.602,8.0,3,0
67393,1.0,32.0,31,1.625,6.51691083527,0.0,3,1
32069,0.0,2266.0,44,0.0,0.0,2.0,5,0
27427,0.0,231.0,40,14.25667352295,1.235,0.0,5,0
78653,1.0,109.0,44,5.382,1.75,0.0,2,1
61021,1.0,25.0,45,4.917,2.383,0.0,3,1
82429,0.0,165.0,41,2.236999999999999,0.917,1.0,3,0
12829,0.0,54.0,29,0.118,0.932,0.0,2,0
62587,0.0,137.0,23,0.289,0.833,0.0,5,0
24766,1.0,586.0,47,14.26299998474,0.54,0.0,1,1
43792,1.0,61.0,35,1.659,0.902,0.0,5,1
35929,0.0,143.0,23,3.88890362548,3.02299839782,2.0,3,0
89073,1.0,314.0,36,0.41,5.23596142578,0.0,2,1
28951,1.0,14.0,42,1.893,2.187,6.0,3,0
26722,1.0,28.0,45,1.707,1.278,0.0,5,1
2318,1.0,320.0,40,0.1,0.0,10.0,3,0
16159,2.0,769.0,39,0.0,0.243,10.0,3,0
76262,1.0,7.0,34,2.400999999999999,2.31200001193,13.0,3,0
88142,0.0,1.0,8,1.151,2.52016345215,5.0,3,0
13275,2.0,294.0,46,0.0,0.243,10.0,3,0
8316,1.0,55.0,31,1.367,0.0,0.0,2,0
73273,0.0,54.0,36,1.601,1.542,0.0,1,0
16877,0.0,66.0,28,0.617,0.622,0.0,2,0
65943,3.0,380.0,36,9.085,2.22476709747,0.0,1,1
49760,3.0,82.0,39,9.479999999999999,5.492,0.0,1,1
8701,1.0,455.0,35,3.940000000000001,4.56918841171,0.0,1,1
55148,1.0,34.0,35,0.2899999999999998,1.25599997711,0.0,1,0
37794,2.0,591.0,44,7.822,50.46186362458999,0.0,5,1
25582,1.0,287.0,49,9.42860802841,4.13992107772,0.0,5,1
57828,3.0,90.0,23,0.419,0.225,0.0,1,1
84758,0.0,626.26806640625,39,4.507,4.802,4.0,3,0
27576,1.0,327.0,47,12.73959048462,2.113,0.0,5,1
70245,0.0,350.0,42,5.0,4.217,0.0,1,0
60186,3.0,301.0,31,3.573,2.064,0.0,5,1
27373,1.0,515.0,41,3.438,0.436,0.0,5,1
57173,0.0,369.0,35,1.076,1.725,17.0,3,0
62268,0.0,31.0,34,5.114,7.86099999809,7.0,3,0
58882,3.0,805.0,46,9.479999999999999,5.492,0.0,1,1
10705,0.0,35.0,39,0.603,4.13700000095,0.0,5,0
53842,1.0,479.0,37,4.363,0.0,6.0,3,0
34856,0.0,48.0,35,3.168,5.00840371704,0.0,5,0
27478,1.0,339.0,40,9.42860802841,4.13992107772,0.0,5,1
91532,1.0,322.298828125,20,5.135,4.1450000019,0.0,5,0
88171,2.0,84.5263442993164,38,2.15,8.868,6.0,3,1
36927,2.0,339.0,14,7.822,50.46186362458999,0.0,5,1
45470,2.0,82.0,35,2.642999999999999,1.637,0.0,5,1
70814,1.0,257.5763244628906,30,5.135,4.1450000019,0.0,5,1
44257,0.0,202.0,43,0.644,0.0,0.0,5,0
553,0.0,94.0,38,0.0,0.47567534161,0.0,1,0
30176,0.0,247.0,48,9.03999998474,0.351,9.0,3,0
59266,1.0,198.0,38,0.011,0.424,0.0,1,1
86528,0.0,310.0,11,0.83,0.208,0.0,5,0
89601,0.0,2.160647630691528,34,3.406,0.211,4.0,3,0
5813,0.0,26.0,37,0.55600000763,1.893,3.0,3,0
15431,0.0,155.0,47,1.253,2.445,3.0,3,0
70687,1.0,165.7321472167969,39,5.135,4.1450000019,0.0,5,1
88193,0.0,425.0,47,0.4,4.28900000763,0.0,1,0
24793,1.0,1916.0,43,14.26299998474,0.54,0.0,1,1
85026,0.0,325.0,46,0.915,0.578,7.0,3,0
67073,2.0,139.0,36,1.557,0.887,13.0,3,0
22271,1.0,175.0,37,1.365,0.323,1.0,2,0
42222,0.0,210.0,52,5.114,7.86099999809,7.0,3,0
33921,1.0,270.0,47,0.359,15.62301283264,0.0,1,1
38866,3.0,128.0,28,18.502,14.22061534119,13.0,5,0
785,0.0,152.0,43,0.122,1.74948947144,0.0,1,0
54912,0.0,90.0,23,3.406,0.211,4.0,3,0
89843,0.0,153.7158813476562,32,1.601,1.542,0.0,1,0
